influencer_name,follower_count,Influencer_page_url
roda_panc,1470.0,https://www.instagram.com/roda_panc/
jorgej_live,63.0,https://www.instagram.com/jorgej_live/
martial.journey,3037.0,https://www.instagram.com/martial.journey/
cocinacontatin,832.0,https://www.instagram.com/cocinacontatin/
foodalgarve,122.0,https://www.instagram.com/foodalgarve/
infornoesforno,3230.0,https://www.instagram.com/infornoesforno/
lapteva_dasha,3553.0,https://www.instagram.com/lapteva_dasha/
miss_petiscos_,1852.0,https://www.instagram.com/miss_petiscos_/
iltartufocoimbra,4502.0,https://www.instagram.com/iltartufocoimbra/
boas_fugas,62.0,https://www.instagram.com/boas_fugas/
maotravessa,490.0,https://www.instagram.com/maotravessa/
mara_gavah,47.0,https://www.instagram.com/mara_gavah/
wine_by_julia,7321.0,https://www.instagram.com/wine_by_julia/
theagritect,11400.0,https://www.instagram.com/theagritect/
amelie.bernardin,528.0,https://www.instagram.com/amelie.bernardin/
ora.que.bem,1.0,https://www.instagram.com/ora.que.bem/
portogay,2189.0,https://www.instagram.com/portogay/
alinaabramiuc,913.0,https://www.instagram.com/alinaabramiuc/
foodandt.r.ips,72.0,https://www.instagram.com/foodandt.r.ips/
goela.porto,2802.0,https://www.instagram.com/goela.porto/
ptites.douceurs,168.0,https://www.instagram.com/ptites.douceurs/
ugggeofood,671.0,https://www.instagram.com/ugggeofood/
gabigomeszanola,1080.0,https://www.instagram.com/gabigomeszanola/
adegasnicolau,2572.0,https://www.instagram.com/adegasnicolau/
tascandoeandando,993.0,https://www.instagram.com/tascandoeandando/
eli_sinfronteras,1649.0,https://www.instagram.com/eli_sinfronteras/
rockioskcafe,540.0,https://www.instagram.com/rockioskcafe/
tipsforfunofficial,1821.0,https://www.instagram.com/tipsforfunofficial/
lounge_kazuya,533.0,https://www.instagram.com/lounge_kazuya/
empanadas.and.co,727.0,https://www.instagram.com/empanadas.and.co/
chefrobertostracquadaini,440.0,https://www.instagram.com/chefrobertostracquadaini/
rodry_fv,29.0,https://www.instagram.com/rodry_fv/
madrona_gastronomia,563.0,https://www.instagram.com/madrona_gastronomia/
eat.delicate.food,279.0,https://www.instagram.com/eat.delicate.food/
chefjoabejesus,1139.0,https://www.instagram.com/chefjoabejesus/
nuts4shakabra,1684.0,https://www.instagram.com/nuts4shakabra/
grilling_bonito,4413.0,https://www.instagram.com/grilling_bonito/
guia.restaurantes,181.0,https://www.instagram.com/guia.restaurantes/
foodwineexperience,287.0,https://www.instagram.com/foodwineexperience/
fujifilmphotographerportugal,33.0,https://www.instagram.com/fujifilmphotographerportugal/
bostonadventurers,303.0,https://www.instagram.com/bostonadventurers/
isa_personalstylist,27.0,https://www.instagram.com/isa_personalstylist/
laurabergeroficial,20800.0,https://www.instagram.com/laurabergeroficial/
vegmente,294.0,https://www.instagram.com/vegmente/
lacarniceria.euro,409.0,https://www.instagram.com/lacarniceria.euro/
thekarakgyal,562.0,https://www.instagram.com/thekarakgyal/
finediningportugal,109.0,https://www.instagram.com/finediningportugal/
acrushon___,10400.0,https://www.instagram.com/acrushon___/
gatayboqueron,569.0,https://www.instagram.com/gatayboqueron/
galerias_eboli,2951.0,https://www.instagram.com/galerias_eboli/
cientovoland,2081.0,https://www.instagram.com/cientovoland/
qualeaboa_lisboa,33600.0,https://www.instagram.com/qualeaboa_lisboa/
wonderlust.portugal,179000.0,https://www.instagram.com/wonderlust.portugal/
fixemix,840.0,https://www.instagram.com/fixemix/
laricadoporto,3637.0,https://www.instagram.com/laricadoporto/
torikozlova,628.0,https://www.instagram.com/torikozlova/
bhukkad_001,11300.0,https://www.instagram.com/bhukkad_001/
insideyvan,1732.0,https://www.instagram.com/insideyvan/
isa_bella_kitchen,550.0,https://www.instagram.com/isa_bella_kitchen/
armazemdachef,1043.0,https://www.instagram.com/armazemdachef/
portofoodstories,700.0,https://www.instagram.com/portofoodstories/
amoree_sofie,88.0,https://www.instagram.com/amoree_sofie/
portugalminhacasa,1355.0,https://www.instagram.com/portugalminhacasa/
liliana_navarra_a_lisbona,3054.0,https://www.instagram.com/liliana_navarra_a_lisbona/
montse_cuinetes,273.0,https://www.instagram.com/montse_cuinetes/
tiamariasblog,4499.0,https://www.instagram.com/tiamariasblog/
marialoveslavie,139.0,https://www.instagram.com/marialoveslavie/
tialurdes.oficial,1026.0,https://www.instagram.com/tialurdes.oficial/
tangibiliemozioni,4937.0,https://www.instagram.com/tangibiliemozioni/
